Dataset,BSPCOVER,ST,LTS,FS,TSN,ADSN,PPSN,number_of_shapelets,window_size
Adiac,0.769,0.783,0.522,0.593,0.798,0.798,0.755,10,30
ArrowHead,0.806,0.737,0.846,0.594,0.869,0.886,0.886,5,10
Beef,0.733,0.9,0.867,0.567,0.9,0.933,0.933,2,10
BeetleFly,0.9,0.9,0.8,0.7,0.9,0.9,0.95,0.5,100
BirdChicken,1,0.8,0.8,0.75,0.8,0.85,1,1,100
Car,0.817,0.917,0.767,0.75,0.917,0.917,0.917,1,100
CBF,0.997,0.974,0.991,0.94,0.989,0.999,0.998,10,30
ChlorineConcentration,0.612,0.7,0.592,0.546,0.868,0.88,0.688,10,10
CinCECGtorso,0.965,0.954,0.87,0.859,0.975,0.976,0.991,2,20
Coffee,1,0.964,1,0.929,1,1,1,0.2,10
Computers,0.672,0.736,0.584,0.5,0.624,0.604,0.804,0.2,100
CricketX,0.771,0.772,0.741,0.485,0.721,0.723,0.797,10,30
CricketY,0.764,0.779,0.718,0.531,0.723,0.723,0.751,10,20
CricketZ,0.741,0.787,0.741,0.464,0.723,0.726,0.802,2,30
DiatomSizeReduction,0.873,0.925,0.98,0.866,0.99,0.987,0.987,10,10
DistalPhalanxOutlineCorrect,0.832,0.775,0.779,0.75,0.81,0.822,0.797,2,10
DistalPhalanxOutlineAgeGroup,0.853,0.77,0.719,0.655,0.835,0.843,0.806,2,10
DistalPhalanxTW,0.793,0.662,0.626,0.626,0.785,0.798,0.712,1,20
Earthquakes,0.817,0.741,0.741,0.705,0.82,0.812,0.82,0.05,10
ECG200,0.92,0.83,0.88,0.81,0.9,0.92,0.94,1,10
ECG5000,0.944,0.944,0.932,0.923,0.948,0.947,0.945,5,10
ECGFiveDays,1,0.984,1,0.998,1,1,1,0.2,10
ElectricDevices,0.242,0.747,0.587,0.579,0.625,0.585,0.747,5,50
FaceAll,0.763,0.779,0.749,0.626,0.811,0.812,0.875,5,10
FaceFour,0.966,0.852,0.966,0.909,0.955,0.977,1,0.5,20
FacesUCR,0.783,0.906,0.939,0.706,0.94,0.932,0.958,5,20
FiftyWords,0.754,0.705,0.73,0.481,0.69,0.686,0.818,10,20
Fish,0.92,0.989,0.96,0.783,0.943,0.931,0.914,0.1,20
FordA,0.963,0.971,0.957,0.787,0.933,0.933,0.971,5,200
FordB,0.902,0.807,0.917,0.728,0.918,0.918,0.807,5,200
GunPoint,1,1,1,0.947,0.967,0.987,0.993,5,10
Ham,0.762,0.686,0.667,0.648,0.781,0.781,0.8,0.1,10
HandOutlines,0.867,0.932,0.481,0.811,0.831,0.871,0.932,0.05,1000
Haptics,0.451,0.523,0.468,0.393,0.438,0.458,0.523,0.05,20
Herring,0.703,0.672,0.625,0.531,0.688,0.703,0.75,0.2,10
InlineSkate,0.387,0.373,0.438,0.189,0.34,0.373,0.427,0.5,100
InsectWingbeatSound,0.574,0.627,0.606,0.489,0.624,0.606,0.631,5,10
ItalyPowerDemand,0.965,0.948,0.96,0.917,0.969,0.972,0.977,5,10
LargeKitchenAppliances,0.861,0.859,0.701,0.56,0.707,0.635,0.859,10,200
Lightning2,0.902,0.738,0.82,0.705,0.787,0.777,0.82,10,30
Lightning7,0.712,0.726,0.795,0.644,0.767,0.808,0.795,2,20
Mallat,0.768,0.964,0.95,0.976,0.94,0.919,0.982,0.5,10
Meat,0.75,0.85,0.733,0.833,0.933,0.967,1,0.2,10
MedicalImages,0.721,0.67,0.664,0.624,0.722,0.72,0.768,10,10
MiddlePhalanxOutlineCorrect,0.647,0.794,0.78,0.729,0.778,0.797,0.839,10,10
MiddlePhalanxOutlineAgeGroup,0.805,0.643,0.571,0.545,0.798,0.771,0.669,0.1,30
MiddlePhalanxTW,0.632,0.519,0.506,0.532,0.637,0.617,0.612,0.5,30
MoteStrain,0.911,0.897,0.883,0.777,0.908,0.906,0.887,1,30
NonInvasiveFatalECGThorax1,0.915,0.95,0.259,0.71,0.877,0.902,0.95,0.05,1000
NonInvasiveFatalECGThorax2,0.938,0.951,0.77,0.754,0.902,0.917,0.951,0.05,1000
OliveOil,0.833,0.9,0.167,0.733,0.9,0.867,0.967,2,20
OSULeaf,0.839,0.967,0.777,0.678,0.711,0.649,0.967,10,100
PhalangesOutlinesCorrect,0.784,0.763,0.765,0.744,0.823,0.796,0.733,5,30
Phoneme,0.207,0.321,0.218,0.174,0.216,0.227,0.308,5,100
Plane,1,1,1,1,1,1,1,0.05,10
ProximalPhalanxOutlineCorrect,0.845,0.883,0.849,0.804,0.88,0.88,0.869,0.5,30
ProximalPhalanxOutlineAgeGroup,0.82,0.844,0.834,0.78,0.859,0.859,0.883,5,20
ProximalPhalanxTW,0.798,0.805,0.776,0.702,0.815,0.818,0.834,2,10
RefrigerationDevices,0.547,0.581,0.515,0.333,0.445,0.421,0.621,5,100
ScreenType,0.517,0.52,0.429,0.413,0.459,0.451,0.528,1,30
ShapeletSim,0.844,0.956,0.95,1,0.872,0.883,0.961,0.05,100
ShapesAll,0.833,0.842,0.768,0.58,0.812,0.818,0.837,5,100
SmallKitchenAppliances,0.733,0.792,0.664,0.333,0.709,0.667,0.816,1,30
SonyAIBORobotSurface1,0.883,0.844,0.81,0.686,0.857,0.915,0.965,5,10
SonyAIBORobotSurface2,0.935,0.934,0.875,0.79,0.909,0.94,0.923,1,30
StarlightCurves,0.971,0.979,0.947,0.918,0.947,0.957,0.979,1,100
Strawberry,0.943,0.962,0.911,0.903,0.977,0.977,0.962,10,30
SwedishLeaf,0.918,0.928,0.907,0.768,0.915,0.916,0.958,5,10
Symbols,0.934,0.882,0.932,0.934,0.949,0.963,0.928,5,30
SyntheticControl,0.997,0.983,0.997,0.91,0.997,1,0.993,2,20
ToeSegmentation1,0.965,0.965,0.934,0.956,0.921,0.921,0.969,1,100
ToeSegmentation2,0.915,0.908,0.915,0.692,0.877,0.93,0.969,5,100
Trace,1,1,1,1,1,1,1,0.2,30
TwoLeadECG,0.997,0.997,0.996,0.924,0.972,0.986,0.995,5,10
TwoPatterns,0.998,0.955,0.993,0.908,0.962,0.959,0.999,5,50
UWaveGestureLibraryX,0.79,0.803,0.791,0.695,0.798,0.771,0.816,10,30
UWaveGestureLibraryY,0.64,0.73,0.703,0.596,0.706,0.669,0.738,5,30
UWaveGestureLibraryZ,0.735,0.748,0.747,0.638,0.698,0.682,0.744,5,30
