Dataset,HIVE-COTE 2.0,TS-CHIEF,HIVE-COTE,InceptionTime,MiniRocket,Rocket,CIF,PPSN,number_of_shapelets,window_size
Adiac,0.813,0.798,0.811,0.844,0.818,0.77,0.821,0.755,10,30
ArrowHead,0.863,0.806,0.823,0.863,0.863,0.794,0.806,0.886,5,10
Beef,0.867,0.767,0.9,0.667,0.867,0.833,0.767,0.933,2,10
BeetleFly,0.95,1,0.95,0.85,0.85,0.9,0.9,0.95,0.5,100
BirdChicken,0.9,0.95,0.95,0.95,0.9,0.9,0.9,1,1,100
Car,0.917,0.867,0.833,0.9,0.999,0.85,0.883,0.917,1,100
CBF,1,0.998,0.999,0.999,0.917,1,0.999,0.998,10,30
ChlorineConcentration,0.771,0.66,0.739,0.876,0.77,0.807,0.739,0.688,10,10
CinCECGtorso,1,0.981,0.995,0.853,0.87,0.837,1,0.991,2,20
Coffee,1,1,1,1,1,1,1,1,0.2,10
Computers,0.764,0.7,0.776,0.808,0.684,0.752,0.736,0.804,0.2,100
CricketX,0.826,0.821,0.808,0.849,0.815,0.826,0.746,0.797,10,30
CricketY,0.851,0.8,0.823,0.844,0.826,0.856,0.805,0.751,10,20
CricketZ,0.864,0.831,0.823,0.849,0.823,0.859,0.81,0.802,2,30
DiatomSizeReduction,0.958,0.964,0.935,0.948,0.925,0.967,0.863,0.987,10,10
DistalPhalanxOutlineCorrect,0.775,0.757,0.772,0.786,0.779,0.761,0.786,0.797,2,10
DistalPhalanxOutlineAgeGroup,0.748,0.748,0.755,0.734,0.748,0.748,0.748,0.806,2,10
DistalPhalanxTW,0.705,0.676,0.676,0.655,0.683,0.719,0.698,0.712,1,20
Earthquakes,0.748,0.748,0.748,0.712,0.748,0.748,0.748,0.82,0.05,10
ECG200,0.89,0.84,0.86,0.91,0.91,0.91,0.89,0.94,1,10
ECG5000,0.947,0.946,0.947,0.942,0.945,0.947,0.943,0.945,5,10
ECGFiveDays,1,1,1,1,1,1,1,1,0.2,10
ElectricDevices,0.758,0.76,0.746,0.721,0.731,0.726,0.736,0.747,5,50
FaceAll,0.868,0.842,0.779,0.793,0.808,0.947,0.764,0.875,5,10
FaceFour,1,1,0.989,0.955,0.989,0.977,1,1,0.5,20
FacesUCR,0.963,0.967,0.959,0.972,0.958,0.961,0.907,0.958,5,20
FiftyWords,0.833,0.848,0.776,0.846,0.84,0.833,0.782,0.818,10,20
Fish,0.989,0.994,0.994,0.983,0.971,0.971,0.943,0.914,0.1,20
FordA,0.954,0.95,0.951,0.961,0.95,0.942,0.969,0.971,5,200
FordB,0.831,0.823,0.832,0.849,0.812,0.806,0.816,0.807,5,200
GunPoint,1,1,1,1,0.993,0.993,0.993,0.993,5,10
